id,user,deci,sex,age,kno1,kno2,kno3,kno4,kno5,kno6,kno7,kno8,inno,att1,att2,att3,att4,att5,att6,att7,att8,interest,re_att1,re_att2,re_att3,re_att4,re_att5,re_att6,re_att7,re_att8,re_kno1,re_kno2,re_kno3,re_kno4,re_kno5,re_kno6,re_kno7,re_kno8,attitude,knowledge
228,small residence,2,male,27,4,4,4,5,4,4,4,5,early majority,3,3,4,5,5,3,5,5,probably not,2,2,3,4,4,2,4,4,3,3,3,4,3,3,3,4,3.125,3.25
229,small residence,2,male,49,4,3,4,4,3,4,4,4,early majority,4,4,5,4,5,5,5,5,probably will,3,3,4,3,4,4,4,4,3,2,3,3,2,3,3,3,3.625,2.75
230,small residence,2,female,43,1,1,2,1,2,2,2,3,early majority,1,2,2,1,2,2,1,2,probably will,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,2,0.625,0.75
232,small residence,2,male,58,4,1,1,2,5,2,1,1,early majority,3,3,3,3,5,5,5,5,likely to,2,2,2,2,4,4,4,4,3,0,0,1,4,1,0,0,3,1.125
233,regular residence,2,female,49,1,1,1,1,1,1,1,1,early majority,4,4,4,2,4,4,4,4,definitely not,3,3,3,1,3,3,3,3,0,0,0,0,0,0,0,0,2.75,0
234,regular residence,2,female,46,1,1,1,1,1,1,1,1,early majority,5,5,5,5,5,5,5,5,probably will,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,4,0
235,regular residence,2,female,67,1,1,1,1,2,1,1,1,late majority,4,4,4,4,4,4,5,4,probably not,3,3,3,3,3,3,4,3,0,0,0,0,1,0,0,0,3.125,0.125
236,regular residence,2,female,30,1,1,1,1,1,1,1,1,late majority,4,4,4,4,5,5,5,5,probably will,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,3.5,0
237,regular residence,2,male,43,3,2,3,3,4,3,4,3,early majority,2,4,4,4,5,5,3,3,probably will,1,3,3,3,4,4,2,2,2,1,2,2,3,2,3,2,2.75,2.125
239,small residence,2,male,34,3,2,2,3,2,2,2,2,early majority,4,4,5,3,3,4,4,4,likely to,3,3,4,2,2,3,3,3,2,1,1,2,1,1,1,1,2.875,1.25
240,regular residence,2,male,55,3,3,2,2,4,2,2,2,early majority,3,4,2,3,4,3,3,2,probably will,2,3,1,2,3,2,2,1,2,2,1,1,3,1,1,1,2,1.5
241,regular residence,2,male,31,1,1,1,1,1,1,1,1,late majority,4,3,4,4,4,4,4,4,definitely not,3,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2.875,0
242,regular residence,2,female,49,1,1,2,1,2,2,1,1,late majority,2,4,4,4,5,5,4,5,probably will,1,3,3,3,4,4,3,4,0,0,1,0,1,1,0,0,3.125,0.375
243,small residence,2,female,30,1,1,1,1,1,1,1,1,early adopters,4,4,4,2,2,4,4,3,likely to,3,3,3,1,1,3,3,2,0,0,0,0,0,0,0,0,2.375,0
244,regular residence,2,male,50,2,3,3,3,4,2,4,2,early majority,5,5,5,4,5,4,5,4,probably will,4,4,4,3,4,3,4,3,1,2,2,2,3,1,3,1,3.625,1.875
246,regular residence,2,male,61,4,1,5,4,5,5,3,3,early majority,4,5,5,4,5,5,5,5,likely to,3,4,4,3,4,4,4,4,3,0,4,3,4,4,2,2,3.75,2.75
247,regular residence,2,female,59,3,2,2,3,2,4,2,4,early majority,4,2,4,2,5,5,5,2,likely to,3,1,3,1,4,4,4,1,2,1,1,2,1,3,1,3,2.625,1.75
248,small residence,2,female,39,4,3,3,3,3,3,3,3,early majority,4,4,4,3,4,4,4,3,probably will,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2.75,2.125
249,small residence,2,female,44,1,1,1,1,1,1,1,1,early majority,4,4,4,3,4,4,4,3,probably will,3,3,3,2,3,3,3,2,0,0,0,0,0,0,0,0,2.75,0
250,small residence,2,female,58,1,1,1,1,2,2,2,2,late majority,3,4,4,4,4,4,4,3,probably will,2,3,3,3,3,3,3,2,0,0,0,0,1,1,1,1,2.75,0.5
252,regular residence,2,female,65,1,1,1,1,1,1,1,1,laggards,4,4,5,4,5,5,4,5,probably will,3,3,4,3,4,4,3,4,0,0,0,0,0,0,0,0,3.5,0
253,regular residence,2,male,28,3,1,2,3,2,2,1,1,early majority,4,4,4,3,5,5,5,4,probably will,3,3,3,2,4,4,4,3,2,0,1,2,1,1,0,0,3.25,0.875
254,regular residence,2,male,63,1,1,1,1,1,1,1,1,early majority,3,3,4,4,5,5,5,2,definitely not,2,2,3,3,4,4,4,1,0,0,0,0,0,0,0,0,2.875,0
